STATISTIC,Statistic Label,TLIST(W1),Year,C03910V04662,Transport Traffic Site,C01198V01436,Weeks of the year,UNIT,VALUE
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,17,Week 17,Number,11187.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,18,Week 18,Number,11414.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,19,Week 19,Number,10430.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,20,Week 20,Number,12092.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,21,Week 21,Number,13617.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,22,Week 22,Number,14151.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,23,Week 23,Number,13070.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,24,Week 24,Number,15152.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,25,Week 25,Number,15319.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,26,Week 26,Number,15378.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,27,Week 27,Number,15500.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,28,Week 28,Number,15785.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,29,Week 29,Number,15904.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,30,Week 30,Number,15899.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,31,Week 31,Number,15345.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,32,Week 32,Number,13485.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,33,Week 33,Number,15506.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,34,Week 34,Number,15132.0
